,簇族,轮廓系数,Davies-Bouldin Index,Calinski-Harabaz Index
0,2,0.5290187351363989,0.7497600680387662,6752.227665854685
1,3,0.43714585643077475,1.0390382414383867,4902.929609534786
2,4,0.22743284194301838,1.9651435602779324,3411.691130625624
3,5,0.12282130915657245,2.797407590322078,2649.0503545807555
4,6,0.10492926505035112,2.7401343049008715,2185.529227745853
5,7,0.06790883613793236,2.8263924678873105,1872.5873275003814
